cycle,party,weeks_to_election,n,anger
2022,Democrat,63,5513,0.15134846498219556
2022,Democrat,64,5410,0.15856383158175477
2022,Democrat,65,5720,0.1716339420834947
2022,Democrat,66,6822,0.20670478510748452
2022,Democrat,67,6394,0.22610408113511965
2022,Democrat,68,6770,0.1807759924484981
2022,Democrat,69,5289,0.21039468365664882
2022,Democrat,70,5258,0.22227492185740652
2022,Democrat,71,6253,0.2409261196458007
2022,Democrat,72,6572,0.23057158983695733
2022,Democrat,73,6255,0.2160743378575141
2022,Democrat,74,5215,0.1942208580123591
2022,Democrat,75,5251,0.2532915870978835
2022,Democrat,76,3383,0.3236435854598547
2022,Democrat,77,6705,0.25768751801414547
2022,Democrat,78,6149,0.22018133041037377
2022,Democrat,79,7491,0.1584351820823493
2022,Democrat,80,6541,0.22756952806067662
2022,Democrat,81,6921,0.25363247844906894
2022,Democrat,82,6254,0.19639258050699462
2022,Democrat,83,5916,0.17361825411041104
2022,Democrat,84,6926,0.26050308473531125
2022,Democrat,85,6341,0.24821854746352515
2022,Democrat,86,2691,0.20759845401905547
2022,Democrat,87,7236,0.23055614529434573
2022,Democrat,88,7852,0.23012664038569927
2022,Democrat,89,6969,0.20521741410092478
2022,Democrat,90,6791,0.3049266900875589
2022,Democrat,91,6896,0.2478487260954745
2022,Democrat,92,6577,0.2659479227093749
2022,Democrat,93,7264,0.22796442396395827
2022,Democrat,94,5926,0.34820533841361967
2022,Democrat,95,7910,0.4963127699318282
2022,Democrat,96,4235,0.27436587606702956
2022,Democrat,97,4616,0.33412450659040366
2022,Democrat,98,5744,0.2527600694899311
2022,Democrat,99,7004,0.25507781592120327
2022,Democrat,100,7517,0.24716579081093923
2022,Democrat,101,4612,0.21234182424829984
2022,Democrat,102,6798,0.2655775270769131
2022,Democrat,103,5768,0.23410772618377645
2022,Democrat,104,5452,0.2710120763288628
2022,Republican,0,2494,0.371201051996032
2022,Republican,1,2464,0.40076907909707343
2022,Republican,2,2286,0.43512233162493535
2022,Republican,3,2202,0.4245697148061771
2022,Republican,4,1876,0.42187371632423815
2022,Republican,5,2180,0.36916061040022574
2022,Republican,6,2143,0.43075175977925234
2022,Republican,7,2234,0.4297267092614257
2022,Republican,8,1965,0.452823300792601
2022,Republican,9,1579,0.4681974652281091
2022,Republican,10,1818,0.4689867706359513
2022,Republican,11,1542,0.4210281891361164
2022,Republican,12,1944,0.5225028052606041
2022,Republican,13,4426,0.46061264619633546
2022,Republican,14,4513,0.4577575354106764
2022,Republican,15,4087,0.43670011818026594
2022,Republican,16,4943,0.47934846043298085
2022,Republican,17,3455,0.46172118274166146
2022,Republican,18,3205,0.40355189822631626
