year,party,age_bracket,n,anger,anger_dev
2019,Republican,85,1103,0.18440847668724164,-0.07429521383638149
2020,Democrat,30,6101,0.22886287988154524,-0.06744312402516678
2020,Democrat,35,15604,0.2619630228057198,-0.03434298110099221
2020,Democrat,40,26389,0.2664340957520051,-0.029871908154706917
2020,Democrat,45,38307,0.24596445535489497,-0.05034154855181705
2020,Democrat,50,35650,0.297292804349479,0.0009868004427669996
2020,Democrat,55,45738,0.27601787862188026,-0.02028812528483176
2020,Democrat,60,45134,0.2958630020916889,-0.000443001815023103
2020,Democrat,65,48681,0.30341937527475865,0.007113371368046628
2020,Democrat,70,52780,0.3707000363746064,0.07439403246789439
2020,Democrat,75,21795,0.30428546013159496,0.007979456224882941
2020,Democrat,80,7567,0.31520039878138967,0.018894394874677645
2020,Democrat,85,1783,0.2890967746287171,-0.007209229277994944
2020,Republican,35,10566,0.3166776001139389,0.050000704587712386
2020,Republican,40,14452,0.3866742676888071,0.11999737216258055
2020,Republican,45,28112,0.2878931235294866,0.021216228003260063
2020,Republican,50,17726,0.24217775748703432,-0.02449913803919221
2020,Republican,55,30442,0.2281741736358991,-0.03850272189032744
2020,Republican,60,34741,0.26039245938655575,-0.006284436139670779
2020,Republican,65,31469,0.2699185956845479,0.00324170015832137
2020,Republican,70,5576,0.19018230142769668,-0.07649459409852985
2020,Republican,75,4687,0.17468101078461984,-0.09199588474160669
2020,Republican,80,1117,0.09362270349791756,-0.17305419202830896
2020,Republican,85,1399,0.20575205384792922,-0.060924841678297315
2021,Democrat,30,10295,0.22937344402966334,0.008246331328335271
2021,Democrat,35,9867,0.18957209071023456,-0.0315550219910935
2021,Democrat,40,25367,0.2389695083848915,0.01784239568356344
2021,Democrat,45,42055,0.21355342581699757,-0.007573686884330494
2021,Democrat,50,29268,0.22138631932096114,0.0002592066196330789
2021,Democrat,55,49457,0.20384716702233321,-0.01727994567899485
2021,Democrat,60,43031,0.21084516128240294,-0.010281951418925128
2021,Democrat,65,40863,0.2215542740461602,0.0004271613448321443
2021,Democrat,70,48556,0.2466642955915351,0.02553718289020704
2021,Democrat,75,24283,0.24255618592770228,0.021429073226374218
2021,Democrat,80,9052,0.1884787110743233,-0.032648401627004775
2021,Democrat,85,2003,0.1709842455558966,-0.05014286714543145
2021,Republican,25,1948,0.5245690883602947,0.11537983232674315
2021,Republican,30,8435,0.4399145465486898,0.030725290515138226
2021,Republican,35,12957,0.4712445678178723,0.06205531178432072
2021,Republican,40,26517,0.45000024876728617,0.04081099273373462
2021,Republican,45,16042,0.3939784574147366,-0.015210798618814969
2021,Republican,50,31572,0.4502018463304389,0.04101259029688736
2021,Republican,55,46019,0.3819767181792749,-0.02721253785427663
2021,Republican,60,43132,0.38776312246398736,-0.021426133569564187
2021,Republican,65,42525,0.40677211743248937,-0.0024171386010621854
2021,Republican,70,9812,0.3611214472739029,-0.04806780875964867
2021,Republican,75,3497,0.33773048219175394,-0.07145877384179761
2021,Republican,85,2317,0.22781933196585177,-0.18136992406769978
2022,Democrat,30,4500,0.29681100494807794,0.04807405641945495
2022,Democrat,35,7711,0.1766736731662993,-0.07206327536232368
2022,Democrat,40,14286,0.2610103566883952,0.012273408159772181
2022,Democrat,45,29941,0.26109988278002516,0.012362934251402169
2022,Democrat,50,22678,0.23715137333679964,-0.01158557519182335
2022,Democrat,55,31678,0.23526225714194376,-0.013474691386679227
