year,age_bracket,n,members,anger,share_angry,negative,joy,anger_se,anger_dev
2022,65,57942,93,0.31640267288316815,0.3113458285872079,0.2564878452074442,0.41914240741561365,0.0015365608421436395,-0.012465423699862699
2022,70,44594,78,0.319787887233093,0.3163654303269498,0.2528825917180466,0.42737489442828724,0.001752814339577306,-0.009080209349937862
2022,75,25999,41,0.28105086194460177,0.2698180699257664,0.222289367154184,0.44769460697909613,0.002173287179437073,-0.047817234638429074
2022,80,9841,16,0.2658381610749633,0.2525149883141957,0.1840574627842321,0.49664572122093326,0.0034978641589357993,-0.06302993550806757
2022,85,3146,8,0.26361945005564774,0.24507310870947235,0.19868391206463887,0.41484980538779914,0.006020498360652607,-0.0652486465273831
2023,25,1232,1,0.32421222205769706,0.31006493506493504,0.28103298446720665,0.4079731947261622,0.010807782405513982,-0.023739195543543923
2023,30,3626,11,0.404851672121581,0.4067843353557639,0.3320823634226724,0.31961107815692114,0.0065539090183386155,0.05690025452034003
2023,35,18302,34,0.3851541838770348,0.391541907988198,0.29676022459390544,0.38918029469687343,0.0029137015256246682,0.03720276627579383
2023,40,26135,58,0.3553293095292427,0.3558063898986034,0.2849875375551477,0.40588290510509933,0.0023802757058560297,0.007377891928001701
2023,45,29123,64,0.32731391029185763,0.3244514644782474,0.26576527795296057,0.4339260503505279,0.002222949608742927,-0.02063750730938335
2023,50,41216,74,0.3791227648298954,0.37997379658385094,0.30148391209133324,0.3712612273675235,0.0019202250036238389,0.03117134722865439
2023,55,32886,78,0.34602218867229717,0.34756431308155444,0.28154140793358623,0.4132207041652794,0.002116769294997515,-0.0019292289289438158
2023,60,37434,90,0.3458754574796622,0.3471443073142063,0.2770059370929726,0.4225791666593776,0.001981222730455358,-0.0020759601215787904
2023,65,34282,89,0.31045252676765195,0.3069832565194563,0.2540870145209617,0.442588542396538,0.001986514347930846,-0.03749889083358904
2023,70,33872,67,0.36441256684577994,0.36797354747283895,0.2986648879440065,0.40037037888301785,0.002105155794004033,0.016461149244538953
2023,75,15856,42,0.30450575818350223,0.30045408678102925,0.24591435476325668,0.44803413804646347,0.002907801484189867,-0.04344565941773876
2023,80,5733,15,0.3206414644744981,0.3218210361067504,0.25382643630645274,0.43294830170027765,0.0048480329871273655,-0.027309953126742892
2023,85,1543,6,0.35747272221127685,0.3545042125729099,0.2592496154994335,0.37663306985460876,0.00990329699385455,0.009521304610035863
2023,90,309,1,0.23584791009456016,0.21359223300970873,0.15800836846732735,0.41394474940874815,0.018068884222238242,-0.11210350750668083
2024,25,760,1,0.2844164695566226,0.2657894736842105,0.2665151914606165,0.42822670311495464,0.01342246878959316,-0.04875692681292504
2024,30,1272,4,0.4086811845922995,0.419811320754717,0.34130061755852653,0.3427470268388044,0.011299667342743092,0.07550778822275189
2024,35,20863,32,0.3466051717877749,0.3463068590327374,0.2741686512114882,0.418835192310168,0.0026725899652663924,0.013431775418227265
2024,40,41685,59,0.3426066015152194,0.3463596017752189,0.2712894493244809,0.4517880119997347,0.0019092945775400175,0.009433205145671753
2024,45,42051,71,0.33038382447537173,0.3311217331335759,0.2649508801582733,0.44517376270308606,0.001875788348263598,-0.0027895718941758907
2024,50,54115,75,0.3587648983666255,0.36217314977363024,0.28378420679920024,0.40960068156293306,0.001679061018898338,0.02559150199707788
2024,55,43728,81,0.34985026242648176,0.35407519209659716,0.2858665797679736,0.4308494492914716,0.0018566643918564694,0.016676866056934136
2024,60,48792,91,0.32670116066459365,0.32691834727004426,0.25910828025203925,0.44651167959492094,0.0017166090226514471,-0.006472235704953977
2024,65,46732,88,0.28545281832141944,0.28186253530771205,0.23275015454394715,0.48802339734816014,0.0016804305879883302,-0.04772057804812818
