name,party,n,n_night,daytime,nighttime,night_minus_day
Michael Lawler,Republican,4328,491.0,0.22363708714683644,0.1975560081466395,-0.026081079000196933
Frederica S. Wilson,Democrat,19042,703.0,0.2151349931025422,0.18634423897581792,-0.02879075412672427
Melanie A. Stansbury,Democrat,5214,515.0,0.32139491046182844,0.2912621359223301,-0.030132774539498364
Ralph Norman,Republican,5496,316.0,0.4004149377593361,0.370253164556962,-0.03016177320237412
Michael T. McCaul,Republican,8316,317.0,0.26524685382381413,0.2334384858044164,-0.03180836801939774
Jasmine Crockett,Democrat,4259,497.0,0.46658805031446543,0.4346076458752515,-0.031980404439213905
Randy Fine,Republican,4239,356.0,0.5151763740771124,0.48314606741573035,-0.03203030666138201
Joaquin Castro,Democrat,4669,367.0,0.5034283652111151,0.46866485013623976,-0.03476351507487535
Elizabeth Warren,Democrat,33918,1419.0,0.5069788182831662,0.47075405214940097,-0.036224766133765185
Michael K. Simpson,Republican,2417,439.0,0.2253994953742641,0.18906605922551253,-0.03633343614875156
Richard Hudson,Republican,10220,618.0,0.26162018592297476,0.22491909385113268,-0.03670109207184208
Steve Cohen,Democrat,16893,2090.0,0.4464823175319789,0.40956937799043064,-0.036912939541548284
Kat Cammack,Republican,6438,411.0,0.29971371944505615,0.26277372262773724,-0.03693999681731891
Deb Fischer,Republican,9609,448.0,0.1447184085177921,0.10714285714285714,-0.03757555137493497
Rick Scott,Republican,25436,1760.0,0.4979122541603631,0.4602272727272727,-0.0376849814330904
Mary E. Miller,Republican,5612,515.0,0.585590949687407,0.545631067961165,-0.039959881726241986
John Boozman,Republican,5066,605.0,0.1275797373358349,0.08760330578512397,-0.039976431550710914
Nikema Williams,Democrat,6822,375.0,0.2407563025210084,0.2,-0.0407563025210084
"Robert F. Onder, Jr.",Republican,1421,302.0,0.42487883683360256,0.3841059602649007,-0.04077287656870188
Brian J. Mast,Republican,11764,933.0,0.37609912070343726,0.33440514469453375,-0.04169397600890351
Steny H. Hoyer,Democrat,11984,760.0,0.2843738722482858,0.24210526315789474,-0.04226860909039107
Chris Van Hollen,Democrat,10706,406.0,0.5527708159287107,0.5098522167487685,-0.04291859917994223
Troy E. Nehls,Republican,5036,556.0,0.5199039121482498,0.4766187050359712,-0.04328520711227862
Marcy Kaptur,Democrat,7263,339.0,0.23828271466066742,0.19469026548672566,-0.043592449173941755
Thomas R. Suozzi,Democrat,5972,523.0,0.209462915601023,0.16443594646271512,-0.04502696913830789
Bill Cassidy,Republican,13217,1248.0,0.2905962190984004,0.24439102564102563,-0.046205193457374755
Maria Cantwell,Democrat,12193,376.0,0.23559612093553908,0.18882978723404256,-0.04676633370149652
Pat Fallon,Republican,5960,743.0,0.6176104542626011,0.5706594885598923,-0.046950965702708736
Debbie Dingell,Democrat,6882,303.0,0.20253164556962025,0.1551155115511551,-0.047416134018465145
Marsha Blackburn,Republican,18966,2203.0,0.5617798594847775,0.5115751248297776,-0.05020473465499986
Carlos A. Gimenez,Republican,7644,636.0,0.35253205824820694,0.3018867924528302,-0.05064526579537676
Gwen Moore,Democrat,13182,378.0,0.31553730321697465,0.26455026455026454,-0.050987038666710116
Brad Sherman,Democrat,3455,358.0,0.3751783166904422,0.3240223463687151,-0.05115597032172714
Bennie G. Thompson,Democrat,2850,305.0,0.336734693877551,0.28524590163934427,-0.05148879223820674
"Banks, Jim",Republican,8646,519.0,0.5492344641248874,0.49710982658959535,-0.05212463753529206
Tim Scott,Republican,14953,722.0,0.21776274806443,0.1634349030470914,-0.05432784501733859
Bernard Sanders,Independent,41810,1673.0,0.4328423755151679,0.37776449491930664,-0.05507788059586127
Steve Daines,Republican,5320,893.0,0.32772795216741407,0.2721164613661814,-0.05561149080123268
Ayanna Pressley,Democrat,14400,681.0,0.35474667978357105,0.2966226138032305,-0.058124065980340534
