year,month,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se,anger_dev
2019,1,36444,0.3763083432281192,0.3763308089123038,0.27609549446332793,0.3638623273281608,0.37727229252288624,0.4863566551482471,0.17525488819151822,0.19073203731225621,0.0020178840128404667,0.06678764076731969
2019,2,34866,0.2805268654894093,0.26811220099810706,0.209725606008703,0.267852532603188,0.46423935093603896,0.5545585623467172,0.16680542383729255,0.1405800730346203,0.0019033806946689798,-0.028993836971390186
2019,3,36044,0.2832062151991388,0.27175119298635003,0.20561649018528166,0.2655136508999386,0.4776790250903647,0.5687619259863462,0.14963159995104092,0.1299963815011342,0.0018848629225976478,-0.02631448726166069
2019,4,29748,0.27700727428689687,0.26596745999731075,0.20984898825891646,0.26437796992811124,0.4715709909614273,0.5649407396412155,0.1667901986110772,0.14002418009642797,0.0020611381362228135,-0.032513428173902625
2019,5,37893,0.28160178801147434,0.2735069801810361,0.2158631137719772,0.2672500110135266,0.4800212270702211,0.574290241912624,0.16876851132851728,0.1451196353594132,0.0018654940925347827,-0.02791891444932515
2019,6,38719,0.286195284734927,0.2761951496681216,0.22184046529137788,0.27131737789452615,0.46275577846697064,0.5713846152467328,0.17962993241654568,0.1465032833281194,0.001826404156926287,-0.023325417725872488
2019,7,35958,0.320351542598987,0.31442238166750097,0.24256183697005393,0.30399291992735133,0.43841715320708885,0.5354562122625747,0.17731065299632137,0.14295429306023089,0.0019940434888769095,0.010830840138187525
2019,8,27247,0.28528571363896754,0.27768194663632695,0.24565413612451853,0.2750677888654692,0.46775677413565325,0.5573232885789607,0.20118793133378204,0.15524525755256058,0.002214748641115295,-0.02423498882183195
2019,9,34779,0.3051371409355731,0.2977083872451767,0.24473658102147067,0.29207428534798224,0.4249867211639414,0.5336315771768223,0.19220798275091494,0.16140883581649593,0.001991545088401946,-0.004383561525226398
2019,10,43889,0.32565761755418937,0.31857640866731984,0.24764805711974328,0.30967975699020095,0.4092389856878664,0.5128237002162693,0.1789979699076567,0.15197377518088176,0.0018051604746098778,0.01613691509338988
2019,11,44307,0.31073608373598555,0.30439885345430745,0.22929667221210198,0.2966851412927085,0.433028647921227,0.5271320005497276,0.16232172964169317,0.13799413639997346,0.001760270441305559,0.001215381275186056
2019,12,46114,0.3553830385492996,0.3516285726677365,0.26002006196598976,0.33203218407656415,0.4053088030847245,0.5141558171578496,0.15747424666423138,0.14642521180039822,0.0017908463587233375,0.0458623360885001
2020,1,40034,0.3758319214503784,0.3761802467902283,0.27803387007610963,0.35127567617893024,0.3674266084274813,0.48300984958763443,0.1966217947008594,0.14418461675815558,0.001921170752384118,0.08781532487311061
2020,2,38810,0.3055863888462474,0.29971656789487244,0.2353119170420861,0.2919542597124559,0.4494509729227861,0.5447444774604603,0.165069839007536,0.14431373869258257,0.0018906623629510843,0.01756979226897959
2020,3,54272,0.20107880896325095,0.16920327240566038,0.18117104316531651,0.20736341723977603,0.36378927934512556,0.5539289809972392,0.23760666897748947,0.14061849160255424,0.0012962985792349122,-0.08693778761401685
2020,4,50263,0.22188731367071984,0.19515349262877266,0.20384366901176737,0.23166139330896526,0.3690042036109435,0.5326895379551899,0.20755792995025146,0.16387889135140032,0.0014236724591398064,-0.06612928290654796
2020,5,44278,0.26472277288757834,0.2473688965174579,0.2371909173292408,0.2675162694609439,0.3819049901231995,0.5266618665435413,0.2070296078441084,0.18004246061285664,0.0016602893810268651,-0.023293823689689463
2020,6,43766,0.3417744148819604,0.33665402367134306,0.26537814338353866,0.32613711906579784,0.3467038453591166,0.5090665447567909,0.2160418410270796,0.1725452755979855,0.001795109927616487,0.05375781830469262
2020,7,46897,0.32443620969730447,0.31611830181035033,0.2726848351940363,0.3184838400149062,0.36028413813153437,0.50157644695818,0.21176211752425847,0.17458187938252445,0.001727070225560691,0.036419613120036665
2020,8,41617,0.32606398956563054,0.31696181848763727,0.27796849177877087,0.321949276857182,0.3543745983703519,0.49097215606726663,0.209904999647105,0.1767841403434216,0.0018342006640391945,0.03804739298836274
2020,9,46462,0.29370548176448846,0.28279023718307433,0.251503595755217,0.2875323198528711,0.39245858608922257,0.526081941461564,0.20139516734248086,0.18116354345973254,0.0016978823894542125,0.00568888518722066
2020,10,47832,0.3077735480778962,0.2978549924736578,0.26056824126022393,0.3023762055125773,0.3881857461760213,0.5039296476406113,0.19531344855440794,0.1616138290695725,0.0016956306630893183,0.019756951500628395
